id,date,protocol_number,doctor_id,patient_name,tc_no,questions_and_answers,final_diagnosis,medicine,are_you_healed,satisfaction_level
12,5/17/2025 15:24,2025051712,123456789,Emre Armağan,45454545454,"[[""Ateşiniz var mı?"", ""yes""], [""Öksürüğünüz var mı?"", ""yes""], [""Nefes almakta zorluk çekiyor musunuz?"", ""yes""]]",COVID-19 Olabilir,"Antiviral ilaçlar bazı durumlarda: Nirmatrelvir + Ritonavir (Paxlovid içerikleri)\nSemptomatik tedavi:Parasetamol (ateş için), Ibuprofen (semptom kontrolü için)",no,4
13,5/17/2025 15:26,2025051713,1234567,Emrah Karaduman,78945612315,"[[""Baş ağrısı var mı?"", ""no""], [""Başka belirtiler mevcut mu?"", ""yes""]]",Diğer,Doktor değerlendirmesi önerilir,yes,1
14,5/17/2025 15:26,2025051714,1234567,Emrah Karaduman,78945612315,"[[""Baş ağrısı var mı?"", ""no""], [""Başka belirtiler mevcut mu?"", ""no""]]",Migren düşünülmez,,,
15,5/17/2025 15:26,2025051715,1234567,Emrah Karaduman,78945612315,"[[""Baş ağrısı var mı?"", ""yes""], [""Baş ağrısı tekrarlayıcı mı?"", ""yes""], [""Baş ağrısı genellikle tek taraflı mı?"", ""yes""], [""Bulantı veya kusma var mı?"", ""yes""]]",Migren,"Sumatriptan,Rizatriptan,Ergotamin (daha eski tip ilaçlarda),Naproksen (atağa destek amaçlı)",yes,4
16,5/17/2025 15:26,2025051716,1234567,Emrah Karaduman,78945612315,"[[""Baş ağrısı var mı?"", ""yes""], [""Baş ağrısı tekrarlayıcı mı?"", ""no""], [""Ağrı fiziksel aktiviteyle kötüleşiyor mu?"", ""yes""]]",Migren,"Sumatriptan,Rizatriptan,Ergotamin (daha eski tip ilaçlarda),Naproksen (atağa destek amaçlı)",yes,3
17,5/17/2025 16:10,2025051717,12345678,Orkun Cavit,15478652124,"[[""Baş ağrısı var mı?"", ""no""], [""Başka belirtiler mevcut mu?"", ""no""]]",Migren düşünülmez,,no,1
18,5/17/2025 16:10,2025051718,12345678,Orkun Cavit,15478652124,"[[""Baş ağrısı var mı?"", ""yes""], [""Baş ağrısı tekrarlayıcı mı?"", ""yes""], [""Baş ağrısı genellikle tek taraflı mı?"", ""yes""], [""Bulantı veya kusma var mı?"", ""yes""]]",Migren,"Sumatriptan,Rizatriptan,Ergotamin (daha eski tip ilaçlarda),Naproksen (atağa destek amaçlı)",yes,4
19,5/17/2025 16:10,2025051719,12345678,Orkun Cavit,15478652124,"[[""Ateşiniz var mı?"", ""no""], [""Yorgunluk hissediyor musunuz?"", ""no""]]",Belirtileriniz uyumlu değil.,,yes,4
20,5/17/2025 16:10,2025051720,12345678,Orkun Cavit,15478652124,"[[""Ateşiniz var mı?"", ""yes""], [""Öksürüğünüz var mı?"", ""yes""], [""Nefes almakta zorluk çekiyor musunuz?"", ""yes""]]",COVID-19 Olabilir,"Antiviral ilaçlar bazı durumlarda: Nirmatrelvir + Ritonavir (Paxlovid içerikleri)\nSemptomatik tedavi:Parasetamol (ateş için), Ibuprofen (semptom kontrolü için)",yes,5
21,5/17/2025 16:12,2025051721,12345678912,Fatma Korkut,45678912345,"[[""Baş ağrısı var mı?"", ""no""], [""Başka belirtiler mevcut mu?"", ""yes""]]",Diğer,Doktor değerlendirmesi önerilir,yes,1
22,5/17/2025 16:12,2025051722,12345678912,Fatma Korkut,45678912345,"[[""Baş ağrısı var mı?"", ""yes""], [""Baş ağrısı tekrarlayıcı mı?"", ""yes""], [""Baş ağrısı genellikle tek taraflı mı?"", ""yes""], [""Bulantı veya kusma var mı?"", ""yes""]]",Migren,"Sumatriptan,Rizatriptan,Ergotamin (daha eski tip ilaçlarda),Naproksen (atağa destek amaçlı)",no,2
23,5/17/2025 16:12,2025051723,12345678912,Fatma Korkut,45678912345,"[[""Baş ağrısı var mı?"", ""no""], [""Başka belirtiler mevcut mu?"", ""no""]]",Migren düşünülmez,,yes,5
24,5/17/2025 16:13,2025051724,12345678912,Fatma Korkut,45678912345,"[[""Baş ağrısı var mı?"", ""yes""], [""Baş ağrısı tekrarlayıcı mı?"", ""yes""], [""Baş ağrısı genellikle tek taraflı mı?"", ""yes""], [""Bulantı veya kusma var mı?"", ""yes""]]",Migren,"Sumatriptan,Rizatriptan,Ergotamin (daha eski tip ilaçlarda),Naproksen (atağa destek amaçlı)",yes,4
25,5/17/2025 16:14,2025051725,666666,Duygu Yılmaz,89895623561,"[[""Baş ağrısı var mı?"", ""no""], [""Başka belirtiler mevcut mu?"", ""no""]]",Migren düşünülmez,,yes,5
26,5/17/2025 16:14,2025051726,666666,Duygu Yılmaz,89895623561,"[[""Baş ağrısı var mı?"", ""yes""], [""Baş ağrısı tekrarlayıcı mı?"", ""yes""], [""Baş ağrısı genellikle tek taraflı mı?"", ""yes""], [""Bulantı veya kusma var mı?"", ""yes""]]",Migren,"Sumatriptan,Rizatriptan,Ergotamin (daha eski tip ilaçlarda),Naproksen (atağa destek amaçlı)",yes,5
27,5/17/2025 16:14,2025051727,666666,Duygu Yılmaz,89895623561,"[[""Ateşiniz var mı?"", ""yes""], [""Öksürüğünüz var mı?"", ""yes""], [""Kuru öksürük mü?"", ""yes""], [""Nefes almakta zorluk çekiyor musunuz?"", ""yes""]]",COVID-19 veya Bronşit Olabilir.,Azitromisin,yes,4
28,5/17/2025 16:14,2025051728,666666,Duygu Yılmaz,89895623561,"[[""Ateşiniz var mı?"", ""yes""], [""Öksürüğünüz var mı?"", ""yes""], [""Kuru öksürük mü?"", ""yes""], [""Nefes almakta zorluk çekiyor musunuz?"", ""yes""]]",COVID-19 veya Bronşit Olabilir.,Azitromisin,no,1
29,5/17/2025 16:15,2025051729,77777,Zeynep Canlı,54654621459,"[[""Baş ağrısı var mı?"", ""no""], [""Başka belirtiler mevcut mu?"", ""no""]]",Migren düşünülmez,,yes,4
30,5/17/2025 16:16,2025051730,77777,Zeynep Canlı,54654621459,"[[""Baş ağrısı var mı?"", ""yes""], [""Baş ağrısı tekrarlayıcı mı?"", ""yes""], [""Baş ağrısı genellikle tek taraflı mı?"", ""no""], [""Ağrı ışık veya ses hassasiyeti yaratıyor mu?"", ""yes""]]",Migren,"Sumatriptan,Rizatriptan,Ergotamin (daha eski tip ilaçlarda),Naproksen (atağa destek amaçlı)",yes,3
31,5/17/2025 16:16,2025051731,77777,Zeynep Canlı,54654621459,"[[""Baş ağrısı var mı?"", ""yes""], [""Baş ağrısı tekrarlayıcı mı?"", ""yes""], [""Baş ağrısı genellikle tek taraflı mı?"", ""yes""], [""Bulantı veya kusma var mı?"", ""yes""]]",Migren,"Sumatriptan,Rizatriptan,Ergotamin (daha eski tip ilaçlarda),Naproksen (atağa destek amaçlı)",no,1
32,5/17/2025 16:16,2025051732,77777,Zeynep Canlı,54654621459,"[[""Ateşiniz var mı?"", ""yes""], [""Öksürüğünüz var mı?"", ""yes""], [""Nefes almakta zorluk çekiyor musunuz?"", ""yes""]]",COVID-19 Olabilir,"Antiviral ilaçlar bazı durumlarda: Nirmatrelvir + Ritonavir (Paxlovid içerikleri)\nSemptomatik tedavi:Parasetamol (ateş için), Ibuprofen (semptom kontrolü için)",no,1
33,5/17/2025 16:21,2025051733,12345,Emre Doğan,78945215478,"[[""Baş ağrısı var mı?"", ""yes""], [""Baş ağrısı tekrarlayıcı mı?"", ""yes""], [""Baş ağrısı genellikle tek taraflı mı?"", ""yes""], [""Bulantı veya kusma var mı?"", ""yes""]]",Migren,"Sumatriptan,Rizatriptan,Ergotamin (daha eski tip ilaçlarda),Naproksen (atağa destek amaçlı)",yes,5
34,5/17/2025 16:22,2025051734,1234567,Yaren Canlı,14785214578,"[[""Baş ağrısı var mı?"", ""no""], [""Başka belirtiler mevcut mu?"", ""no""]]",Migren düşünülmez,,yes,5
